column,n_missing,pct_missing
TYPE2_DIABETES_FAMILY_FATHER,17487,97.36637
TYPE2_DIABETES_FAMILY_MOTHER,17409,96.932071
DIAG_FIBROMYALGIA_ACR,2771,15.428731
DIAG_CFS_CDC,2573,14.326281
DIAG_IBS_ROME3,2557,14.237194
CYCLE_COMMUTE_T1,2378,13.240535
LLDS,2087,11.620267
WORK_T1,2003,11.152561
NSES,1769,9.849666
EDUCATION_LOWER_T2,1639,9.125835
WORK_T2,1618,9.008909
MWK_VAL,1168,6.503341
SCOR_NO_VAL,1167,6.497773
MWK_NO_VAL,1167,6.497773
SCOR_VAL,1166,6.492205
SPORTS_T1,1164,6.481069
HBAC_T3,838,4.665924
CHO_T3,804,4.476615
HDC_T3,804,4.476615
LDC_T3,804,4.476615
TGL_T3,804,4.476615
HBAC_T2,617,3.435412
BKR_T2,553,3.079065
HDC_T2,553,3.079065
TGL_T2,553,3.079065
LDC_T2,553,3.079065
CHO_T2,553,3.079065
SMOKING,271,1.508909
HBAC_T1,124,0.690423
CHO_T1,63,0.35078
HDC_T1,63,0.35078
BKR_T1,63,0.35078
TGL_T1,63,0.35078
LDC_T1,63,0.35078
HBF_T2,57,0.317372
MAP_T2,57,0.317372
HTN_MED_T1,53,0.2951
EDUCATION_LOWER_T1,42,0.233853
RESPIRATORY_DISEASE_T1,41,0.228285
HIP_T2,40,0.222717
BMI_T2,40,0.222717
WAIST_T2,40,0.222717
MAP_T1,8,0.044543
HBF_T1,7,0.038976
HIP_T3,1,0.005568
WAIST_T3,1,0.005568
HIP_T1,0,0.0
WAIST_T1,0,0.0
FINANCE_T1,0,0.0
GENDER,0,0.0
AGE_T2,0,0.0
AGE_T1,0,0.0
AGE_T3,0,0.0
BMI_T1,0,0.0
DEPRESSION_T1,0,0.0
OSTEOARTHRITIS,0,0.0
