,count,unique,top,freq,mean,std,min,25%,50%,75%,max
GENDER,17960.0,,,,1.6047884187082406,0.48890970175975107,1.0,1.0,2.0,2.0,2.0
AGE_T1,17960.0,,,,46.56943207126949,11.456776220947384,18.0,39.0,47.0,54.0,80.0
AGE_T2,17960.0,,,,50.375835189309576,11.35994938104846,20.0,43.0,51.0,58.0,84.0
AGE_T3,17960.0,,,,56.372160356347436,11.390072587989655,24.0,50.0,57.0,64.0,91.0
ZIP_CODE,16674.0,,,,9078.72412138659,728.1151182607291,1059.0,8501.0,9269.0,9649.0,9999.0
BMI_T1,17960.0,,,,25.85944877505568,4.0495876477850175,13.4,23.1,25.3,27.9,56.6
WEIGHT_T1,17960.0,,,,79.11297327394209,14.638411274789306,43.0,68.0,78.0,88.0,200.0
HIP_T1,17960.0,,,,99.22294543429845,9.1444226878847,62.0,93.0,98.0,104.0,168.0
HEIGHT_T1,17960.0,,,,174.72250556792872,9.322211743264578,129.0,168.0,174.0,181.0,210.0
WAIST_T1,17960.0,,,,89.85285634743876,11.851109733193796,54.0,81.0,89.0,97.0,167.0
BMI_T2,17920.0,,,,25.991813616071433,4.155852694282958,15.4,23.1,25.4,28.1,58.8
WEIGHT_T2,17920.0,,,,79.27767299107143,14.856384264367781,42.0,68.5,78.0,88.0,200.0
HIP_T2,17920.0,,,,99.8326171875,9.106004275804493,68.0,94.0,99.0,104.5,168.0
HEIGHT_T2,17920.0,,,,174.43240513392857,9.390857245578696,143.0,167.5,173.5,181.0,209.0
WAIST_T2,17920.0,,,,89.837109375,12.248247054383713,58.0,81.0,89.0,97.5,165.0
HEIGHT_T3,17960.0,,,,174.00851893095768,9.435749881914111,128.0,167.0,173.0,180.5,208.5
WEIGHT_T3,17960.0,,,,81.37412583518932,15.390791802677306,40.6,70.3,80.0,90.3,206.1
HIP_T3,17959.0,,,,102.26169051728938,9.552424337792543,0.0,96.0,101.0,107.0,224.0
WAIST_T3,17959.0,,,,92.03103736288212,12.716533352370254,1.0,83.0,91.0,100.0,183.0
EDUCATION_LOWER_T1,17918.0,,,,0.2603527179372698,0.4388392963799541,0.0,0.0,0.0,1.0,1.0
EDUCATION_LOWER_T2,16321.0,,,,0.249555787022854,0.43276918967885064,0.0,0.0,0.0,0.0,1.0
FINANCE_T1,17960.0,,,,6.910356347438753,2.64087123624551,1.0,6.0,7.0,9.0,10.0
WORK_T1,15957.0,,,,0.7329071880679325,0.44245509390720966,0.0,0.0,1.0,1.0,1.0
WORK_T2,16342.0,,,,0.763554032554155,0.4249121322854257,0.0,1.0,1.0,1.0,1.0
LOW_QUALITY_OF_LIFE_T1,17956.0,,,,0.08142125194920918,0.27348856867478294,0.0,0.0,0.0,0.0,1.0
LOW_QUALITY_OF_LIFE_T2,16358.0,,,,0.10551412153074947,0.30722412299424473,0.0,0.0,0.0,0.0,1.0
DBP_T1,17953.0,,,,74.08628084442711,9.215626475346617,48.0,67.0,73.0,80.0,143.0
DBP_T2,17903.0,,,,74.18494107132882,9.594884974834537,48.0,67.0,73.0,80.0,128.0
HBF_T1,17953.0,,,,70.75675374589206,10.808083001986281,39.0,63.0,70.0,78.0,147.0
HBF_T2,17903.0,,,,68.74250125677261,11.02556147566843,34.0,61.0,68.0,75.0,124.0
MAP_T1,17952.0,,,,93.32102272727273,9.961680650848509,62.0,87.0,92.0,99.0,165.0
MAP_T2,17903.0,,,,94.59258224878512,10.607621513356854,66.0,87.0,93.0,101.0,151.0
SBP_T1,17953.0,,,,125.33565420821033,14.93809893104366,84.0,115.0,124.0,134.0,223.0
SBP_T2,17903.0,,,,128.2977713232419,16.103327229638236,86.0,117.0,127.0,138.0,210.0
HTN_MED_T1,17907.0,,,,0.11526218797118445,0.31934700736836036,0.0,0.0,0.0,0.0,1.0
ALT_T1,9072.0,,,,23.036816578483243,15.991749413584763,1.0,15.0,19.0,27.0,451.0
BALB_T1,9094.0,,,,44.96866065537717,2.393906729590186,36.0,43.0,45.0,47.0,54.0
BKR_T1,17897.0,,,,73.78186288204726,12.642598324493044,35.0,65.0,73.0,82.0,198.0
CHO_T1,17897.0,,,,5.130437503492206,1.001916253903561,2.1,4.4,5.1,5.8,10.0
GLU_T1,17842.0,,,,5.002953704741621,0.7942324161508824,2.7,4.6,4.9,5.2,20.5
HB1C_T1,14107.0,,,,37.19947543772595,4.733854380380047,19.0,35.0,37.0,39.0,155.0
HBAC_T1,17836.0,,,,5.552046422964789,0.4266701253689483,3.9,5.3,5.5,5.7,16.4
HDC_T1,17897.0,,,,1.5177068782477512,0.40485560723720265,0.3,1.2,1.5,1.8,3.9
LDC_T1,17897.0,,,,3.2587316309996086,0.9172209844839578,0.7,2.6,3.2,3.8,8.7
TGL_T1,17897.0,,,,1.1685830027378892,0.7485375872317562,0.2,0.72,0.96,1.38,12.56
UZ_T1,9071.0,,,,0.28921728585602474,0.07069636514812778,0.08,0.24,0.28,0.33,0.63
BKR_T2,17407.0,,,,77.57689435284655,13.975843037465664,31.0,68.0,76.0,86.0,347.0
CHO_T2,17407.0,,,,5.109530648589648,0.9848317874776924,1.8,4.4,5.1,5.7,10.2
GLU_T2,17298.0,,,,5.0666493236212276,0.8653508924864405,2.8,4.6,4.9,5.3,22.2
HB1C_T2,17372.0,,,,36.486702740041444,4.7362776121449155,0.0,34.0,36.0,38.0,97.0
HBAC_T2,17343.0,,,,5.490705183647581,0.4377262780804916,0.0,5.3,5.5,5.7,13.6
HDC_T2,17407.0,,,,1.5463434250588843,0.4308606005641758,0.3,1.2,1.5,1.8,4.4
LDC_T2,17407.0,,,,3.324277589475498,0.9180252315646058,0.4,2.7,3.3,3.9,9.3
TGL_T2,17407.0,,,,1.193179755270868,0.7710367373004385,0.13,0.74,0.99,1.42,15.79
CHO_T3,17156.0,,,,5.17628235019818,1.0052447507626767,2.0,4.5,5.1,5.8,12.8
GLU_T3,16942.0,,,,5.388873804745602,1.0022179733351728,1.8,4.9,5.2,5.6,25.0
HB1C_T3,17122.0,,,,38.124167737413856,5.658898357687851,14.0,35.0,38.0,40.0,141.0
HBAC_T3,17122.0,,,,5.642752014951524,0.5141082708150169,3.5,5.4,5.6,5.8,15.0
HDC_T3,17156.0,,,,1.5197307064583818,0.4163792491859523,0.5,1.2,1.5,1.8,3.7
LDC_T3,17156.0,,,,3.3394555840522266,0.9329682518561067,0.5,2.7,3.3,3.9,8.8
TGL_T3,17156.0,,,,1.2934128001865237,0.7533314208916663,0.25,0.82,1.11,1.53,12.75
RESPIRATORY_DISEASE_T1,17919.0,,,,0.07678999944193314,0.2662653788390343,0.0,0.0,0.0,0.0,1.0
SMOKING,17689.0,,,,0.16654417999886936,0.37257893612405973,0.0,0.0,0.0,0.0,1.0
METABOLIC_DISORDER_T1,17956.0,,,,0.0064602361327689905,0.4322846131642152,-9.0,0.0,0.0,0.0,1.0
METABOLIC_DISORDER_T2,17956.0,,,,0.01932501670750724,0.4727196781766942,-9.0,0.0,0.0,0.0,1.0
METABOLIC_DISORDER_T3,14592.0,,,,1.9773163377192982,0.1488980628325384,1.0,2.0,2.0,2.0,2.0
TYPE2_DIABETES_FAMILY_FATHER,473.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
TYPE2_DIABETES_FAMILY_MOTHER,551.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
