,dtype
GENDER,int64
AGE_T1,int64
AGE_T2,int64
AGE_T3,int64
ZIP_CODE,float64
BMI_T1,float64
WEIGHT_T1,float64
HIP_T1,float64
HEIGHT_T1,float64
WAIST_T1,float64
BMI_T2,float64
WEIGHT_T2,float64
HIP_T2,float64
HEIGHT_T2,float64
WAIST_T2,float64
HEIGHT_T3,float64
WEIGHT_T3,float64
HIP_T3,float64
WAIST_T3,float64
EDUCATION_LOWER_T1,float64
EDUCATION_LOWER_T2,float64
FINANCE_T1,int64
WORK_T1,float64
WORK_T2,float64
LOW_QUALITY_OF_LIFE_T1,float64
LOW_QUALITY_OF_LIFE_T2,float64
DBP_T1,float64
DBP_T2,float64
HBF_T1,float64
HBF_T2,float64
MAP_T1,float64
MAP_T2,float64
SBP_T1,float64
SBP_T2,float64
HTN_MED_T1,float64
ALT_T1,float64
BALB_T1,float64
BKR_T1,float64
CHO_T1,float64
GLU_T1,float64
HB1C_T1,float64
HBAC_T1,float64
HDC_T1,float64
LDC_T1,float64
TGL_T1,float64
UZ_T1,float64
BKR_T2,float64
CHO_T2,float64
GLU_T2,float64
HB1C_T2,float64
HBAC_T2,float64
HDC_T2,float64
LDC_T2,float64
TGL_T2,float64
CHO_T3,float64
GLU_T3,float64
HB1C_T3,float64
HBAC_T3,float64
HDC_T3,float64
LDC_T3,float64
TGL_T3,float64
RESPIRATORY_DISEASE_T1,float64
SMOKING,float64
METABOLIC_DISORDER_T1,float64
METABOLIC_DISORDER_T2,float64
METABOLIC_DISORDER_T3,float64
TYPE2_DIABETES_FAMILY_FATHER,float64
TYPE2_DIABETES_FAMILY_MOTHER,float64
LLDS,float64
SUMOFALCOHOL,float64
SUMOFKCAL,float64
MWK_VAL,float64
SCOR_VAL,float64
MWK_NO_VAL,float64
SCOR_NO_VAL,float64
SPORTS_T1,float64
CYCLE_COMMUTE_T1,float64
VOLUNTEER_T1,float64
PREGNANCIES,float64
OSTEOARTHRITIS,int64
BURNOUT_T1,int64
DEPRESSION_T1,int64
SLEEP_QUALITY,float64
DIAG_CFS_CDC,float64
DIAG_FIBROMYALGIA_ACR,float64
DIAG_IBS_ROME3,float64
C_SUM_T1,float64
A_SUM_T1,float64
SC_SUM_T1,float64
I_SUM_T1,float64
E_SUM_T1,float64
SD_SUM_T1,float64
V_SUM_T1,float64
D_SUM_T1,float64
LTE_SUM_T1,float64
LDI_SUM_T1,float64
LTE_SUM_T2,float64
LDI_SUM_T2,float64
NSES_YEAR,int64
NSES,str
