,nan,neg8,neg9,zero,any_missingish
GENDER,0,0,0,0,0
AGE_T1,0,0,0,0,0
AGE_T2,0,0,0,0,0
AGE_T3,0,0,0,0,0
ZIP_CODE,1286,0,0,0,1286
BMI_T1,0,0,0,0,0
WEIGHT_T1,0,0,0,0,0
HIP_T1,0,0,0,0,0
HEIGHT_T1,0,0,0,0,0
WAIST_T1,0,0,0,0,0
BMI_T2,40,0,0,0,40
WEIGHT_T2,40,0,0,0,40
HIP_T2,40,0,0,0,40
HEIGHT_T2,40,0,0,0,40
WAIST_T2,40,0,0,0,40
HEIGHT_T3,0,0,0,0,0
WEIGHT_T3,0,0,0,0,0
HIP_T3,1,0,0,2,1
WAIST_T3,1,0,0,0,1
EDUCATION_LOWER_T1,42,0,0,13253,42
EDUCATION_LOWER_T2,1639,0,0,12248,1639
FINANCE_T1,0,0,0,0,0
WORK_T1,2003,0,0,4262,2003
WORK_T2,1618,0,0,3864,1618
LOW_QUALITY_OF_LIFE_T1,4,0,0,16494,4
LOW_QUALITY_OF_LIFE_T2,1602,0,0,14632,1602
DBP_T1,7,0,0,0,7
DBP_T2,57,0,0,0,57
HBF_T1,7,0,0,0,7
HBF_T2,57,0,0,0,57
MAP_T1,8,0,0,0,8
MAP_T2,57,0,0,0,57
SBP_T1,7,0,0,0,7
SBP_T2,57,0,0,0,57
HTN_MED_T1,53,0,0,15843,53
ALT_T1,8888,0,0,0,8888
BALB_T1,8866,0,0,0,8866
BKR_T1,63,0,0,0,63
CHO_T1,63,0,0,0,63
GLU_T1,118,0,0,0,118
HB1C_T1,3853,0,0,0,3853
HBAC_T1,124,0,0,0,124
HDC_T1,63,0,0,0,63
LDC_T1,63,0,0,0,63
TGL_T1,63,0,0,0,63
UZ_T1,8889,0,0,0,8889
BKR_T2,553,0,0,0,553
CHO_T2,553,0,0,0,553
GLU_T2,662,0,0,0,662
HB1C_T2,588,0,0,1,588
HBAC_T2,617,0,0,2,617
HDC_T2,553,0,0,0,553
LDC_T2,553,0,0,0,553
TGL_T2,553,0,0,0,553
CHO_T3,804,0,0,0,804
GLU_T3,1018,0,0,0,1018
HB1C_T3,838,0,0,0,838
HBAC_T3,838,0,0,0,838
HDC_T3,804,0,0,0,804
LDC_T3,804,0,0,0,804
TGL_T3,804,0,0,0,804
RESPIRATORY_DISEASE_T1,41,0,0,16543,41
SMOKING,271,0,0,14743,271
METABOLIC_DISORDER_T1,4,15,24,17465,43
METABOLIC_DISORDER_T2,4,21,24,17180,49
METABOLIC_DISORDER_T3,3368,0,0,0,3368
TYPE2_DIABETES_FAMILY_FATHER,17487,0,0,0,17487
TYPE2_DIABETES_FAMILY_MOTHER,17409,0,0,0,17409
LLDS,2087,0,0,0,2087
SUMOFALCOHOL,6259,0,0,1547,6259
SUMOFKCAL,6246,0,0,2,6246
MWK_VAL,1168,0,0,1348,1168
SCOR_VAL,1166,0,0,1352,1166
MWK_NO_VAL,1167,0,0,1771,1167
SCOR_NO_VAL,1167,0,0,1776,1167
SPORTS_T1,1164,0,0,6718,1164
CYCLE_COMMUTE_T1,2378,0,0,8843,2378
VOLUNTEER_T1,2931,0,0,9861,2931
PREGNANCIES,7876,0,0,1739,7876
OSTEOARTHRITIS,0,0,0,16437,0
BURNOUT_T1,0,0,0,16333,0
DEPRESSION_T1,0,0,0,16169,0
SLEEP_QUALITY,9430,0,0,5500,9430
DIAG_CFS_CDC,2573,0,0,14883,2573
DIAG_FIBROMYALGIA_ACR,2771,0,0,14265,2771
DIAG_IBS_ROME3,2557,0,0,14493,2557
C_SUM_T1,1261,0,0,0,1261
A_SUM_T1,1262,0,0,0,1262
SC_SUM_T1,1220,0,0,0,1220
I_SUM_T1,1290,0,0,0,1290
E_SUM_T1,1230,0,0,0,1230
SD_SUM_T1,1218,0,0,0,1218
V_SUM_T1,1189,0,0,0,1189
D_SUM_T1,1186,0,0,0,1186
LTE_SUM_T1,388,0,0,7804,388
LDI_SUM_T1,449,0,0,3962,449
LTE_SUM_T2,1941,0,0,8464,1941
LDI_SUM_T2,1896,0,0,4380,1896
NSES_YEAR,0,0,0,0,0
NSES,1769,0,0,0,1769
