variable,value,n,pct
GENDER,2.0,10862,60.48
GENDER,1.0,7098,39.52
SMOKING,0.0,14743,82.09
SMOKING,1.0,2946,16.4
SMOKING,,271,1.51
SPORTS_T1,1.0,10078,56.11
SPORTS_T1,0.0,6718,37.41
SPORTS_T1,,1164,6.48
WORK_T1,1.0,11695,65.12
WORK_T1,0.0,4262,23.73
WORK_T1,,2003,11.15
CYCLE_COMMUTE_T1,0.0,8843,49.24
CYCLE_COMMUTE_T1,1.0,6739,37.52
CYCLE_COMMUTE_T1,,2378,13.24
BURNOUT_T1,0.0,16333,90.94
BURNOUT_T1,1.0,1627,9.06
DEPRESSION_T1,0.0,16169,90.03
DEPRESSION_T1,1.0,1791,9.97
HTN_MED_T1,0.0,15843,88.21
HTN_MED_T1,1.0,2064,11.49
HTN_MED_T1,,53,0.3
OSTEOARTHRITIS,0.0,16437,91.52
OSTEOARTHRITIS,1.0,1523,8.48
METABOLIC_DISORDER_T1,0.0,17465,97.24
METABOLIC_DISORDER_T1,1.0,452,2.52
METABOLIC_DISORDER_T1,-9.0,24,0.13
METABOLIC_DISORDER_T1,-8.0,15,0.08
METABOLIC_DISORDER_T1,,4,0.02
METABOLIC_DISORDER_T2,0.0,17180,95.66
METABOLIC_DISORDER_T2,1.0,731,4.07
METABOLIC_DISORDER_T2,-9.0,24,0.13
METABOLIC_DISORDER_T2,-8.0,21,0.12
METABOLIC_DISORDER_T2,,4,0.02
METABOLIC_DISORDER_T3,2.0,14261,79.4
METABOLIC_DISORDER_T3,,3368,18.75
METABOLIC_DISORDER_T3,1.0,331,1.84
EDUCATION_LOWER_T1,0.0,13253,73.79
EDUCATION_LOWER_T1,1.0,4665,25.97
EDUCATION_LOWER_T1,,42,0.23
SLEEP_QUALITY,,9430,52.51
SLEEP_QUALITY,0.0,5500,30.62
SLEEP_QUALITY,1.0,3030,16.87
VOLUNTEER_T1,0.0,9861,54.91
VOLUNTEER_T1,1.0,5168,28.78
VOLUNTEER_T1,,2931,16.32
