variable,n,pct_nan,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,n_le0,cleaning_note
AGE_T1,17960,0.0,46.569,11.457,18.0,19.0,27.0,39.0,47.0,54.0,65.0,72.0,80.0,0,
BMI_T1,17960,0.0,25.859,4.05,13.4,18.8,20.4,23.1,25.3,27.9,33.3,38.6,56.6,0,
BMI_T2,17920,0.22,25.992,4.156,15.4,18.8,20.4,23.1,25.4,28.1,33.7,38.98100000000013,58.8,0,
WAIST_T1,17960,0.0,89.853,11.851,54.0,67.0,72.0,81.0,89.0,97.0,110.0,122.70499999999993,167.0,0,
WEIGHT_T1,17960,0.0,79.113,14.638,43.0,53.0,58.0,68.0,78.0,88.0,105.0,120.0,200.0,0,
HEIGHT_T1,17960,0.0,174.723,9.322,129.0,156.0,161.0,168.0,174.0,181.0,191.0,196.5,210.0,0,
SBP_T1,17953,0.04,125.336,14.938,84.0,96.0,104.0,115.0,124.0,134.0,151.0,168.0,223.0,0,
DBP_T1,17953,0.04,74.086,9.216,48.0,56.0,60.0,67.0,73.0,80.0,90.0,99.0,143.0,0,
HBAC_T1,17836,0.69,5.552,0.427,3.9,4.8,5.0,5.3,5.5,5.7,6.1,6.9,16.4,0,
HBAC_T2,17343,3.44,5.491,0.438,0.0,4.7,4.9,5.3,5.5,5.7,6.1,7.1,13.6,2,≤0 unlikely for HbA1c % — treat as missing
HBAC_T3,17122,4.67,5.643,0.514,3.5,4.8,5.0,5.4,5.6,5.8,6.4,7.8,15.0,0,
HB1C_T1,14107,21.45,37.199,4.734,19.0,29.0,32.0,35.0,37.0,39.0,43.0,51.0,155.0,0,extreme max vs p99 — check outliers
GLU_T1,17842,0.66,5.003,0.794,2.7,4.0,4.2,4.6,4.9,5.2,6.0,7.9,20.5,0,
CHO_T1,17897,0.35,5.13,1.002,2.1,3.1,3.6,4.4,5.1,5.8,6.9,7.8,10.0,0,
HDC_T1,17897,0.35,1.518,0.405,0.3,0.8,0.9,1.2,1.5,1.8,2.3,2.7,3.9,0,
LDC_T1,17897,0.35,3.259,0.917,0.7,1.4,1.9,2.6,3.2,3.8,4.9,5.7,8.7,0,
TGL_T1,17897,0.35,1.169,0.749,0.2,0.38,0.48,0.72,0.96,1.38,2.48,3.96,12.56,0,extreme max vs p99 — check outliers
BKR_T1,17897,0.35,73.782,12.643,35.0,49.0,55.0,65.0,73.0,82.0,95.0,106.0,198.0,0,
ALT_T1,9072,49.49,23.037,15.992,1.0,7.0,10.0,15.0,19.0,27.0,48.0,78.0,451.0,0,extreme max vs p99 — check outliers
BALB_T1,9094,49.37,44.969,2.394,36.0,39.0,41.0,43.0,45.0,47.0,49.0,51.0,54.0,0,
UZ_T1,9071,49.49,0.289,0.071,0.08,0.15,0.19,0.24,0.28,0.33,0.41,0.47,0.63,0,
LLDS,15873,11.62,24.819,5.902,4.0,12.0,15.0,21.0,25.0,29.0,35.0,38.0,45.0,0,
SUMOFKCAL,11714,34.78,1996.144,612.614,0.0,877.09,1166.91,1593.1225,1908.73,2316.5125,3084.061,3876.964400000001,6641.65,2,
SUMOFALCOHOL,11701,34.85,7.386,8.345,0.0,0.0,0.0,1.08,5.23,11.31,24.78,35.99,72.93,1547,
NSES,9853,45.14,-0.117,0.548,-0.993588368,-0.973481349,-0.918024726,-0.602133435,-0.169461198,0.307692713,0.796361249,0.977399283,0.992133189,5642,
LTE_SUM_T1,17572,2.16,1.04,1.262,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,11.0,7804,
LDI_SUM_T1,17511,2.5,2.354,2.275,0.0,0.0,0.0,1.0,2.0,3.0,7.0,10.0,16.0,3962,
