feature,level_a,level_b,rate_a,rate_b,rate_diff_b_minus_a,n
GENDER,1.0,2.0,0.0319,0.0209,-0.0111,17917
SMOKING,0.0,1.0,0.0267,0.0191,-0.0076,17647
SPORTS_T1,0.0,1.0,0.0319,0.0202,-0.0118,16755
WORK_T1,0.0,1.0,0.0459,0.0182,-0.0277,15918
CYCLE_COMMUTE_T1,0.0,1.0,0.024,0.0232,-0.0008,15544
BURNOUT_T1,0.0,1.0,0.0246,0.0314,0.0068,17917
DEPRESSION_T1,0.0,1.0,0.0249,0.0285,0.0037,17917
HTN_MED_T1,0.0,1.0,0.014,0.1114,0.0973,17864
OSTEOARTHRITIS,0.0,1.0,0.0234,0.0453,0.022,17917
EDUCATION_LOWER_T1,0.0,1.0,0.0197,0.0404,0.0207,17875
SLEEP_QUALITY,0.0,1.0,0.0126,0.0129,0.0004,8507
VOLUNTEER_T1,0.0,1.0,0.0229,0.032,0.0092,14997
RESPIRATORY_DISEASE_T1,0.0,1.0,0.0248,0.0299,0.005,17876
TYPE2_DIABETES_FAMILY_FATHER,0.0,1.0,0.0246,0.049,0.0245,17917
TYPE2_DIABETES_FAMILY_MOTHER,0.0,1.0,0.0242,0.0566,0.0323,17917
LOW_QUALITY_OF_LIFE_T1,0.0,1.0,0.0236,0.0439,0.0203,17913
FINANCE_T1,1.0,2.0,0.0181,0.0383,0.0202,2281
