feature,coding,level,n,md_t1_rate,md_t1_overall_rate,rate_diff_vs_overall
GENDER,raw,2.0,10836,0.0209,0.0252,-0.0044
GENDER,raw,1.0,7081,0.0319,0.0252,0.0067
SMOKING,raw,0.0,14711,0.0267,0.0254,0.0013
SMOKING,raw,1.0,2936,0.0191,0.0254,-0.0064
SPORTS_T1,raw,1.0,10056,0.0202,0.0249,-0.0047
SPORTS_T1,raw,0.0,6699,0.0319,0.0249,0.0071
WORK_T1,raw,1.0,11666,0.0182,0.0256,-0.0074
WORK_T1,raw,0.0,4252,0.0459,0.0256,0.0203
CYCLE_COMMUTE_T1,raw,0.0,8826,0.024,0.0237,0.0003
CYCLE_COMMUTE_T1,raw,1.0,6718,0.0232,0.0237,-0.0005
BURNOUT_T1,raw,0.0,16293,0.0246,0.0252,-0.0006
BURNOUT_T1,raw,1.0,1624,0.0314,0.0252,0.0062
DEPRESSION_T1,raw,0.0,16130,0.0249,0.0252,-0.0004
DEPRESSION_T1,raw,1.0,1787,0.0285,0.0252,0.0033
HTN_MED_T1,raw,0.0,15808,0.014,0.0252,-0.0112
HTN_MED_T1,raw,1.0,2056,0.1114,0.0252,0.0861
OSTEOARTHRITIS,raw,0.0,16395,0.0234,0.0252,-0.0019
OSTEOARTHRITIS,raw,1.0,1522,0.0453,0.0252,0.0201
EDUCATION_LOWER_T1,raw,0.0,13219,0.0197,0.0251,-0.0054
EDUCATION_LOWER_T1,raw,1.0,4656,0.0404,0.0251,0.0153
SLEEP_QUALITY,raw,0.0,5491,0.0126,0.0127,-0.0001
SLEEP_QUALITY,raw,1.0,3016,0.0129,0.0127,0.0002
VOLUNTEER_T1,raw,0.0,9844,0.0229,0.026,-0.0031
VOLUNTEER_T1,raw,1.0,5153,0.032,0.026,0.006
RESPIRATORY_DISEASE_T1,raw,0.0,16503,0.0248,0.0252,-0.0004
RESPIRATORY_DISEASE_T1,raw,1.0,1373,0.0299,0.0252,0.0046
TYPE2_DIABETES_FAMILY_FATHER,raw,1.0,469,0.049,0.049,0.0
TYPE2_DIABETES_FAMILY_FATHER,nan_as_0,0.0,17448,0.0246,0.0252,-0.0006
TYPE2_DIABETES_FAMILY_FATHER,nan_as_0,1.0,469,0.049,0.0252,0.0238
TYPE2_DIABETES_FAMILY_MOTHER,raw,1.0,548,0.0566,0.0566,0.0
TYPE2_DIABETES_FAMILY_MOTHER,nan_as_0,0.0,17369,0.0242,0.0252,-0.001
TYPE2_DIABETES_FAMILY_MOTHER,nan_as_0,1.0,548,0.0566,0.0252,0.0313
LOW_QUALITY_OF_LIFE_T1,raw,0.0,16454,0.0236,0.0252,-0.0017
LOW_QUALITY_OF_LIFE_T1,raw,1.0,1459,0.0439,0.0252,0.0186
FINANCE_T1,raw,10.0,3343,0.0173,0.0252,-0.0079
FINANCE_T1,raw,8.0,2876,0.0181,0.0252,-0.0071
FINANCE_T1,raw,9.0,2597,0.0177,0.0252,-0.0075
FINANCE_T1,raw,7.0,2553,0.0309,0.0252,0.0057
FINANCE_T1,raw,6.0,2152,0.0386,0.0252,0.0133
FINANCE_T1,raw,2.0,1673,0.0383,0.0252,0.013
