feature,target,n_pairwise,mean_md0,mean_md1,smd,point_biserial_r,abs_r
AGE_T1,MD_T1,17917,46.3487,55.3827,0.7888,0.1237,0.12369307364591647
AGE_T1,MD_T2,17911,46.2678,53.8605,0.6629,0.1312,0.1311539889613817
BMI_T1,MD_T1,17917,25.75,30.0841,1.0702,0.1678,0.16783186107133444
BMI_T1,MD_T2,17911,25.7016,29.5261,0.9446,0.1869,0.18690185921247582
BMI_T2,MD_T1,17877,25.8983,29.5819,0.8863,0.1391,0.13914775744807203
BMI_T2,MD_T2,17871,25.855,29.1575,0.7947,0.1574,0.15741919484111247
WAIST_T1,MD_T1,17917,89.5077,103.1139,1.1479,0.18,0.1800107468608973
WAIST_T1,MD_T2,17911,89.3655,101.1642,0.9955,0.197,0.1969753793488434
WEIGHT_T1,MD_T1,17917,78.8091,90.8212,0.8203,0.1286,0.12864246294427553
WEIGHT_T1,MD_T2,17911,78.6639,89.5263,0.7419,0.1468,0.14679300043692134
HEIGHT_T1,MD_T1,17917,174.7521,173.5527,-0.1287,-0.0202,0.020179112720112483
HEIGHT_T1,MD_T2,17911,174.7523,174.0086,-0.0798,-0.0158,0.01578580027662739
SBP_T1,MD_T1,17910,125.1672,132.0044,0.4575,0.0717,0.07168137824581283
SBP_T1,MD_T2,17904,125.0871,131.2973,0.4155,0.0822,0.0821796473425618
DBP_T1,MD_T1,17910,74.0327,76.2461,0.2401,0.0376,0.03762236811846006
DBP_T1,MD_T2,17904,73.9987,76.226,0.2417,0.0478,0.04779447417868702
MAP_T1,MD_T1,17909,93.2277,97.0532,0.3838,0.0601,0.060140952530614446
MAP_T1,MD_T2,17903,93.1784,96.7658,0.36,0.0712,0.07119228938179208
HBF_T1,MD_T1,17910,70.734,71.5344,0.074,0.0116,0.011597532658944223
HBF_T1,MD_T2,17904,70.7262,71.3836,0.0608,0.012,0.012024294707706216
HBAC_T1,MD_T1,17797,5.5143,6.849,3.2137,0.5051,0.5050783275244282
HBAC_T1,MD_T2,17791,5.5084,6.4783,2.3354,0.4627,0.4626629350561045
HBAC_T2,MD_T1,17302,5.4546,6.8056,3.1617,0.4922,0.49221372867541596
HBAC_T2,MD_T2,17296,5.4406,6.6143,2.7479,0.5408,0.5407903488398652
HB1C_T1,MD_T1,14076,36.7695,51.7589,3.245,0.5157,0.5157380097323991
HB1C_T1,MD_T2,14070,36.707,47.7118,2.3824,0.4721,0.47207566996093453
GLU_T1,MD_T1,17802,4.9212,7.8031,3.7896,0.5962,0.596151317393384
GLU_T1,MD_T2,17796,4.9081,7.008,2.763,0.5469,0.5469403142148249
CHO_T1,MD_T1,17858,5.1401,4.7805,-0.359,-0.0564,0.05638431273096949
CHO_T1,MD_T2,17852,5.1416,4.8855,-0.2557,-0.0506,0.050613093428101
HDC_T1,MD_T1,17858,1.5226,1.3387,-0.454,-0.0713,0.07131066613875786
HDC_T1,MD_T2,17852,1.5243,1.3709,-0.3786,-0.0749,0.0749374517408634
LDC_T1,MD_T1,17858,3.2663,2.9799,-0.3122,-0.049,0.0490447972681859
LDC_T1,MD_T2,17852,3.2679,3.0536,-0.2336,-0.0462,0.04622360645967076
TGL_T1,MD_T1,17858,1.1602,1.4975,0.4504,0.0707,0.07073821991050903
TGL_T1,MD_T2,17852,1.1559,1.4698,0.4192,0.083,0.08296236756929978
BKR_T1,MD_T1,17858,73.7277,75.9624,0.1767,0.0278,0.02776027695350902
BKR_T1,MD_T2,17852,73.7173,75.3663,0.1304,0.0258,0.025810107670634033
ALT_T1,MD_T1,9053,22.8708,29.5467,0.4176,0.0634,0.0634383721713439
ALT_T1,MD_T2,9052,22.7989,28.7384,0.3716,0.071,0.07104967594822043
BALB_T1,MD_T1,9073,44.9883,44.2523,-0.3075,-0.0471,0.04709461675703948
BALB_T1,MD_T2,9070,44.9983,44.3405,-0.2749,-0.0544,0.05437201348836413
UZ_T1,MD_T1,9052,0.2882,0.3314,0.6103,0.0927,0.0927334257657062
UZ_T1,MD_T2,9051,0.2877,0.3288,0.5822,0.1113,0.11133870740495486
LLDS,MD_T1,15834,24.8116,25.2334,0.0715,0.0113,0.011308208811571926
LLDS,MD_T2,15828,24.7937,25.5146,0.1221,0.0242,0.024219917803120182
SUMOFKCAL,MD_T1,11684,1996.9348,1967.7979,-0.0476,-0.0076,0.007632903340837665
SUMOFKCAL,MD_T2,11678,1997.6998,1963.5164,-0.0558,-0.0112,0.011208978842679426
SUMOFALCOHOL,MD_T1,11674,7.3713,7.9899,0.0741,0.0117,0.011675448920239652
SUMOFALCOHOL,MD_T2,11668,7.3469,8.287,0.1127,0.0223,0.02231404074095062
NSES,MD_T1,9830,-0.1173,-0.1361,-0.0343,-0.0053,0.005288005625646008
NSES,MD_T2,9825,-0.1162,-0.1601,-0.0802,-0.0158,0.015788778388246997
LTE_SUM_T1,MD_T1,17530,1.0342,1.2308,0.1559,0.0244,0.02444861037807883
LTE_SUM_T1,MD_T2,17524,1.0309,1.2267,0.1553,0.0308,0.03081402068647227
LDI_SUM_T1,MD_T1,17469,2.3555,2.2092,-0.0644,-0.01,0.010028606396719599
LDI_SUM_T1,MD_T2,17463,2.3565,2.2313,-0.0551,-0.0109,0.010869229858074305
C_SUM_T1,MD_T1,16660,29.7409,28.8384,-0.2632,-0.0382,0.038222831970121184
C_SUM_T1,MD_T2,16654,29.7532,28.863,-0.2596,-0.0486,0.04862085146584386
A_SUM_T1,MD_T1,16660,18.3764,19.5223,0.2664,0.0386,0.038628519297371856
A_SUM_T1,MD_T2,16654,18.3641,19.3855,0.2374,0.0445,0.04449916772217697
SC_SUM_T1,MD_T1,16700,19.7248,19.9475,0.0474,0.0069,0.006901142986837155
SC_SUM_T1,MD_T2,16694,19.7206,19.9476,0.0483,0.0091,0.009070388518576021
I_SUM_T1,MD_T1,16630,22.1272,22.2853,0.0399,0.0058,0.005809323929905021
I_SUM_T1,MD_T2,16624,22.1195,22.4095,0.0731,0.0137,0.013729798097987711
E_SUM_T1,MD_T1,16691,21.9195,21.279,-0.137,-0.02,0.01995966073399207
E_SUM_T1,MD_T2,16685,21.921,21.4877,-0.0927,-0.0174,0.017383515039759566
SD_SUM_T1,MD_T1,16702,29.4265,28.8886,-0.1253,-0.0182,0.018178708955178785
SD_SUM_T1,MD_T2,16696,29.4363,28.8501,-0.1366,-0.0256,0.025565032326824846
V_SUM_T1,MD_T1,16731,18.1721,18.4945,0.0777,0.0113,0.011298623027244816
V_SUM_T1,MD_T2,16725,18.169,18.4288,0.0626,0.0117,0.011739015303762194
D_SUM_T1,MD_T1,16734,28.6361,28.3148,-0.0767,-0.0111,0.011114645184769517
D_SUM_T1,MD_T2,16728,28.6473,28.1283,-0.1239,-0.0232,0.023184878606273177
