feature,target,n_pairwise,mean_md0,mean_md1,smd,point_biserial_r,abs_r
GLU_T1,MD_T2,17796,4.9081,7.008,2.763,0.5469,0.5469403142148249
HBAC_T2,MD_T2,17296,5.4406,6.6143,2.7479,0.5408,0.5407903488398652
HB1C_T1,MD_T2,14070,36.707,47.7118,2.3824,0.4721,0.47207566996093453
HBAC_T1,MD_T2,17791,5.5084,6.4783,2.3354,0.4627,0.4626629350561045
WAIST_T1,MD_T2,17911,89.3655,101.1642,0.9955,0.197,0.1969753793488434
BMI_T1,MD_T2,17911,25.7016,29.5261,0.9446,0.1869,0.18690185921247582
BMI_T2,MD_T2,17871,25.855,29.1575,0.7947,0.1574,0.15741919484111247
WEIGHT_T1,MD_T2,17911,78.6639,89.5263,0.7419,0.1468,0.14679300043692134
AGE_T1,MD_T2,17911,46.2678,53.8605,0.6629,0.1312,0.1311539889613817
UZ_T1,MD_T2,9051,0.2877,0.3288,0.5822,0.1113,0.11133870740495486
TGL_T1,MD_T2,17852,1.1559,1.4698,0.4192,0.083,0.08296236756929978
SBP_T1,MD_T2,17904,125.0871,131.2973,0.4155,0.0822,0.0821796473425618
HDC_T1,MD_T2,17852,1.5243,1.3709,-0.3786,-0.0749,0.0749374517408634
MAP_T1,MD_T2,17903,93.1784,96.7658,0.36,0.0712,0.07119228938179208
ALT_T1,MD_T2,9052,22.7989,28.7384,0.3716,0.071,0.07104967594822043
BALB_T1,MD_T2,9070,44.9983,44.3405,-0.2749,-0.0544,0.05437201348836413
CHO_T1,MD_T2,17852,5.1416,4.8855,-0.2557,-0.0506,0.050613093428101
C_SUM_T1,MD_T2,16654,29.7532,28.863,-0.2596,-0.0486,0.04862085146584386
DBP_T1,MD_T2,17904,73.9987,76.226,0.2417,0.0478,0.04779447417868702
LDC_T1,MD_T2,17852,3.2679,3.0536,-0.2336,-0.0462,0.04622360645967076
A_SUM_T1,MD_T2,16654,18.3641,19.3855,0.2374,0.0445,0.04449916772217697
LTE_SUM_T1,MD_T2,17524,1.0309,1.2267,0.1553,0.0308,0.03081402068647227
BKR_T1,MD_T2,17852,73.7173,75.3663,0.1304,0.0258,0.025810107670634033
SD_SUM_T1,MD_T2,16696,29.4363,28.8501,-0.1366,-0.0256,0.025565032326824846
LLDS,MD_T2,15828,24.7937,25.5146,0.1221,0.0242,0.024219917803120182
