feature,level_0_or_a,level_1_or_b,mean_hbac_a,mean_hbac_b,delta_b_minus_a,n_a,n_b,n_total,note,abs_delta
HTN_MED_T1,0,1,5.5242,5.767,0.2429,15732,2051,17783,,0.2429
WORK_T1,0,1,5.6392,5.5261,-0.113,4233,11618,15851,,0.113
TYPE2_DIABETES_FAMILY_MOTHER,0,1,5.5495,5.635,0.0855,17296,540,17836,NaN→0 (in-memory assumption),0.0855
SPORTS_T1,0,1,5.5878,5.5268,-0.061,6679,10029,16708,,0.061
TYPE2_DIABETES_FAMILY_FATHER,0,1,5.5505,5.6074,0.0569,17365,471,17836,NaN→0 (in-memory assumption),0.0569
VOLUNTEER_T1,0,1,5.5422,5.5869,0.0447,9815,5126,14941,,0.0447
DIAG_IBS_ROME3,0,1,5.5618,5.5175,-0.0443,14417,895,15312,,0.0443
SMOKING,0,1,5.5582,5.5228,-0.0355,14668,2931,17599,,0.0355
GENDER,1,2,5.5685,5.5413,-0.0272,7041,10795,17836,GENDER 1 vs 2,0.0272
DIAG_CFS_CDC,0,1,5.5584,5.5807,0.0222,14793,502,15295,,0.0222
DIAG_FIBROMYALGIA_ACR,0,1,5.5579,5.5666,0.0086,14183,915,15098,,0.0086
CYCLE_COMMUTE_T1,0,1,5.5391,5.5425,0.0034,8785,6713,15498,,0.0034
