cutoff,kind,from_wave,to_wave,from_state,to_state,n,path
7.0,marginal,T1,T1,high,high,140,
7.0,marginal,T1,T1,low,low,17696,
7.0,marginal,T1,T1,missing,missing,124,
7.0,marginal,T2,T2,high,high,179,
7.0,marginal,T2,T2,low,low,17162,
7.0,marginal,T2,T2,missing,missing,619,
7.0,marginal,T3,T3,high,high,379,
7.0,marginal,T3,T3,low,low,16743,
7.0,marginal,T3,T3,missing,missing,838,
7.0,transition,T1,T2,high,high,84,
7.0,transition,T1,T2,high,low,42,
7.0,transition,T1,T2,high,missing,14,
7.0,transition,T1,T2,low,high,95,
7.0,transition,T1,T2,low,low,17011,
7.0,transition,T1,T2,low,missing,590,
7.0,transition,T1,T2,missing,high,0,
7.0,transition,T1,T2,missing,low,109,
7.0,transition,T1,T2,missing,missing,15,
7.0,transition,T2,T3,high,high,124,
7.0,transition,T2,T3,high,low,39,
7.0,transition,T2,T3,high,missing,16,
7.0,transition,T2,T3,low,high,238,
7.0,transition,T2,T3,low,low,16159,
7.0,transition,T2,T3,low,missing,765,
7.0,transition,T2,T3,missing,high,17,
7.0,transition,T2,T3,missing,low,545,
7.0,transition,T2,T3,missing,missing,57,
7.0,path_t1_t2_t3,T1,T3,low,low→low,16041,low→low→low
7.0,path_t1_t2_t3,T1,T3,low,low→missing,751,low→low→missing
7.0,path_t1_t2_t3,T1,T3,low,missing→low,533,low→missing→low
7.0,path_t1_t2_t3,T1,T3,low,low→high,219,low→low→high
7.0,path_t1_t2_t3,T1,T3,missing,low→low,97,missing→low→low
7.0,path_t1_t2_t3,T1,T3,low,high→high,67,low→high→high
7.0,path_t1_t2_t3,T1,T3,high,high→high,57,high→high→high
7.0,path_t1_t2_t3,T1,T3,low,missing→missing,52,low→missing→missing
7.0,path_t1_t2_t3,T1,T3,low,high→low,23,low→high→low
7.0,path_t1_t2_t3,T1,T3,high,low→low,21,high→low→low
7.0,path_t1_t2_t3,T1,T3,high,low→high,18,high→low→high
7.0,path_t1_t2_t3,T1,T3,high,high→low,16,high→high→low
7.0,path_t1_t2_t3,T1,T3,high,missing→high,12,high→missing→high
7.0,path_t1_t2_t3,T1,T3,missing,missing→low,11,missing→missing→low
7.0,path_t1_t2_t3,T1,T3,high,high→missing,11,high→high→missing
7.0,path_t1_t2_t3,T1,T3,missing,low→missing,11,missing→low→missing
7.0,path_t1_t2_t3,T1,T3,low,missing→high,5,low→missing→high
7.0,path_t1_t2_t3,T1,T3,low,high→missing,5,low→high→missing
7.0,path_t1_t2_t3,T1,T3,missing,missing→missing,4,missing→missing→missing
7.0,path_t1_t2_t3,T1,T3,high,low→missing,3,high→low→missing
7.0,path_t1_t2_t3,T1,T3,high,missing→missing,1,high→missing→missing
7.0,path_t1_t2_t3,T1,T3,high,missing→low,1,high→missing→low
7.0,path_t1_t2_t3,T1,T3,missing,low→high,1,missing→low→high
6.5,marginal,T1,T1,high,high,275,
6.5,marginal,T1,T1,low,low,17561,
6.5,marginal,T1,T1,missing,missing,124,
6.5,marginal,T2,T2,high,high,367,
6.5,marginal,T2,T2,low,low,16974,
6.5,marginal,T2,T2,missing,missing,619,
6.5,marginal,T3,T3,high,high,658,
6.5,marginal,T3,T3,low,low,16464,
6.5,marginal,T3,T3,missing,missing,838,
6.5,transition,T1,T2,high,high,190,
6.5,transition,T1,T2,high,low,67,
6.5,transition,T1,T2,high,missing,18,
6.5,transition,T1,T2,low,high,176,
6.5,transition,T1,T2,low,low,16799,
6.5,transition,T1,T2,low,missing,586,
6.5,transition,T1,T2,missing,high,1,
6.5,transition,T1,T2,missing,low,108,
6.5,transition,T1,T2,missing,missing,15,
6.5,transition,T2,T3,high,high,302,
6.5,transition,T2,T3,high,low,37,
6.5,transition,T2,T3,high,missing,28,
6.5,transition,T2,T3,low,high,328,
6.5,transition,T2,T3,low,low,15893,
6.5,transition,T2,T3,low,missing,753,
6.5,transition,T2,T3,missing,high,28,
6.5,transition,T2,T3,missing,low,534,
6.5,transition,T2,T3,missing,missing,57,
6.5,path_t1_t2_t3,T1,T3,low,low→low,15766,low→low→low
6.5,path_t1_t2_t3,T1,T3,low,low→missing,738,low→low→missing
6.5,path_t1_t2_t3,T1,T3,low,missing→low,521,low→missing→low
6.5,path_t1_t2_t3,T1,T3,low,low→high,295,low→low→high
6.5,path_t1_t2_t3,T1,T3,high,high→high,156,high→high→high
6.5,path_t1_t2_t3,T1,T3,low,high→high,145,low→high→high
6.5,path_t1_t2_t3,T1,T3,missing,low→low,96,missing→low→low
6.5,path_t1_t2_t3,T1,T3,low,missing→missing,52,low→missing→missing
6.5,path_t1_t2_t3,T1,T3,high,low→high,32,high→low→high
6.5,path_t1_t2_t3,T1,T3,high,low→low,31,high→low→low
6.5,path_t1_t2_t3,T1,T3,high,high→low,19,high→high→low
6.5,path_t1_t2_t3,T1,T3,low,high→low,18,low→high→low
6.5,path_t1_t2_t3,T1,T3,high,missing→high,15,high→missing→high
6.5,path_t1_t2_t3,T1,T3,high,high→missing,15,high→high→missing
6.5,path_t1_t2_t3,T1,T3,low,missing→high,13,low→missing→high
6.5,path_t1_t2_t3,T1,T3,low,high→missing,13,low→high→missing
6.5,path_t1_t2_t3,T1,T3,missing,missing→low,11,missing→missing→low
6.5,path_t1_t2_t3,T1,T3,missing,low→missing,11,missing→low→missing
6.5,path_t1_t2_t3,T1,T3,high,low→missing,4,high→low→missing
6.5,path_t1_t2_t3,T1,T3,missing,missing→missing,4,missing→missing→missing
6.5,path_t1_t2_t3,T1,T3,high,missing→low,2,high→missing→low
6.5,path_t1_t2_t3,T1,T3,high,missing→missing,1,high→missing→missing
6.5,path_t1_t2_t3,T1,T3,missing,high→high,1,missing→high→high
6.5,path_t1_t2_t3,T1,T3,missing,low→high,1,missing→low→high
