feature,pearson_r,abs_r,n,target
AGE_T1,0.2981,0.298122008829418,17836,HBAC_T1
AGE_T1,0.342,0.3420293656807365,17341,HBAC_T2
AGE_T1,0.3057,0.3057300163964842,17122,HBAC_T3
HEIGHT_T1,-0.0599,0.05992798635626186,17836,HBAC_T1
HEIGHT_T1,-0.0704,0.0703789269297369,17341,HBAC_T2
HEIGHT_T1,-0.0462,0.046227551430582756,17122,HBAC_T3
WEIGHT_T1,0.1376,0.13764602548045557,17836,HBAC_T1
WEIGHT_T1,0.1559,0.155863881551169,17341,HBAC_T2
WEIGHT_T1,0.1831,0.1831369166534416,17122,HBAC_T3
BMI_T1,0.2054,0.20537498912352034,17836,HBAC_T1
BMI_T1,0.2371,0.23707013823833997,17341,HBAC_T2
BMI_T1,0.2483,0.24825545294059492,17122,HBAC_T3
WAIST_T1,0.2187,0.21872699348158026,17836,HBAC_T1
WAIST_T1,0.2431,0.24306573212431765,17341,HBAC_T2
WAIST_T1,0.2554,0.25543388972146464,17122,HBAC_T3
SBP_T1,0.1291,0.12906142700450232,17829,HBAC_T1
SBP_T1,0.1444,0.14436707662277953,17334,HBAC_T2
SBP_T1,0.147,0.14699551324306234,17115,HBAC_T3
DBP_T1,0.0877,0.08765007045690336,17829,HBAC_T1
DBP_T1,0.103,0.1029919520192945,17334,HBAC_T2
DBP_T1,0.1079,0.10788098806352876,17115,HBAC_T3
GLU_T1,0.6283,0.6283118578002416,17788,HBAC_T1
GLU_T1,0.5105,0.5104829942389602,17241,HBAC_T2
GLU_T1,0.4936,0.4935859951900676,17020,HBAC_T3
CHO_T1,0.1219,0.12186743061200762,17836,HBAC_T1
CHO_T1,0.1289,0.1288809499736295,17290,HBAC_T2
CHO_T1,0.1045,0.1044708036446031,17070,HBAC_T3
HDC_T1,-0.0463,0.046276702725027055,17836,HBAC_T1
HDC_T1,-0.0448,0.044848098098966005,17290,HBAC_T2
HDC_T1,-0.0751,0.07508150071560174,17070,HBAC_T3
LDC_T1,0.1179,0.11787544768869651,17836,HBAC_T1
LDC_T1,0.124,0.12404924828247892,17290,HBAC_T2
LDC_T1,0.1028,0.10278022879240375,17070,HBAC_T3
TGL_T1,0.1274,0.12742835554413062,17836,HBAC_T1
TGL_T1,0.1316,0.13164644860518274,17290,HBAC_T2
TGL_T1,0.1541,0.15411851664188636,17070,HBAC_T3
BKR_T1,0.0242,0.024165989067031036,17836,HBAC_T1
BKR_T1,0.0134,0.013385713316830035,17290,HBAC_T2
BKR_T1,0.0193,0.01927683698402891,17070,HBAC_T3
LLDS,0.0593,0.05925103457730159,15798,HBAC_T1
LLDS,0.0742,0.0742409350329221,15316,HBAC_T2
LLDS,0.0563,0.05634344713306963,15153,HBAC_T3
NSES,-0.0199,0.019897024968628618,9790,HBAC_T1
NSES,-0.0128,0.01281676688017064,9534,HBAC_T2
NSES,-0.0092,0.00920045455240576,9407,HBAC_T3
LTE_SUM_T1,0.0236,0.023575470381100513,17483,HBAC_T1
LTE_SUM_T1,0.0297,0.029671791399404,16972,HBAC_T2
LTE_SUM_T1,0.0467,0.04670875033948282,16757,HBAC_T3
LDI_SUM_T1,-0.0597,0.059656802730901064,17422,HBAC_T1
LDI_SUM_T1,-0.0715,0.07152262775317252,16912,HBAC_T2
LDI_SUM_T1,-0.0396,0.03964713072913351,16695,HBAC_T3
