feature,pearson_r,abs_r,n,target
GLU_T1,0.6283,0.6283118578002416,17788,HBAC_T1
AGE_T1,0.2981,0.298122008829418,17836,HBAC_T1
WAIST_T1,0.2187,0.21872699348158026,17836,HBAC_T1
BMI_T1,0.2054,0.20537498912352034,17836,HBAC_T1
WEIGHT_T1,0.1376,0.13764602548045557,17836,HBAC_T1
SBP_T1,0.1291,0.12906142700450232,17829,HBAC_T1
TGL_T1,0.1274,0.12742835554413062,17836,HBAC_T1
CHO_T1,0.1219,0.12186743061200762,17836,HBAC_T1
LDC_T1,0.1179,0.11787544768869651,17836,HBAC_T1
DBP_T1,0.0877,0.08765007045690336,17829,HBAC_T1
HEIGHT_T1,-0.0599,0.05992798635626186,17836,HBAC_T1
LDI_SUM_T1,-0.0597,0.059656802730901064,17422,HBAC_T1
LLDS,0.0593,0.05925103457730159,15798,HBAC_T1
HDC_T1,-0.0463,0.046276702725027055,17836,HBAC_T1
BKR_T1,0.0242,0.024165989067031036,17836,HBAC_T1
LTE_SUM_T1,0.0236,0.023575470381100513,17483,HBAC_T1
NSES,-0.0199,0.019897024968628618,9790,HBAC_T1
